2024-09-21 16:54:01 0E8:157|1B7:399||154:00B|3F3:314 0B3
2024-09-21 16:55:02 0E8:1D9|2D8:302||1FC:216|065:12B 2F3
2024-09-21 16:56:03 34A:338|01E:16B||09A:054|084:23F 275
2024-09-21 16:57:04 1C9:0A7|265:0C0||24C:336|2F2:3E2 34A
2024-09-21 16:58:05 0F5:110|1CC:381||133:2A3|082:192 3DA
2024-09-21 16:59:10 20F:15D|171:0F6||23B:3B5|0FC:2AF 04F
2024-09-21 17:00:10 0D0:0C8|3FF:386||21F:3B8|0D7:02D 248
2024-09-21 17:01:10 2D3:09A|306:2B8||0C9:321|253:164 0CB
2024-09-21 17:02:11 22D:292|33F:348||2A7:2B4|338:3BB 1CE
2024-09-21 17:03:11 055:000|33D:39E||1DB:217|191:0F1 008
2024-09-21 17:04:11 279:0A5|136:2A8||3ED:1A6|077:214 287
2024-09-21 17:05:11 007:182|01D:27A||272:3D8|03D:0E5 069
2024-09-21 17:06:11 207:0DF|025:384||123:01E|3B5:353 34A
2024-09-21 17:07:11 3B2:3C8|017:09E||3CA:2D1|174:3BB 31b
