2024-11-6 19:18:31 ff|90 8b7
2024-11-6 19:19:31 108|97 8b7
2024-11-6 19:20:31 101|90 8bd
2024-11-6 19:22:6 fe|8a 8b7
2024-11-6 19:23:38 102|94 8c3
2024-11-6 19:24:38 105|95 8bd
2024-11-6 19:25:38 105|94 8ca
2024-11-6 19:26:38 105|94 8b1
2024-11-6 19:27:38 105|94 8b1
2024-11-6 19:28:38 105|94 8b1
2024-11-6 19:29:38 105|94 8a4
2024-11-6 19:30:38 105|94 8aa
2024-11-6 19:31:38 105|93 8b1
2024-11-6 19:32:38 ff|89 8a4
2024-11-6 19:33:38 104|87 8aa
2024-11-6 19:34:38 104|92 8a4
2024-11-6 19:35:38 104|92 8aa
2024-11-6 19:36:38 104|91 8bd
2024-11-6 19:37:38 103|91 8c3
2024-11-6 19:38:38 102|90 8c3
